[imgcut]
0
null
41
0,0,1,1,default
1,1,96,96,
97,1,96,96,
193,1,96,96,
289,1,96,96,
384,1,96,96,
1,97,96,96,
97,97,96,96,
193,97,96,96,
289,97,96,96,
384,97,96,96,
1,193,96,96,
97,193,96,96,
193,193,96,96,
289,193,96,96,
384,193,96,96,
1,289,96,96,
97,289,96,96,
193,289,96,96,
289,289,96,96,
384,289,96,96,
1,385,96,96,
97,385,96,96,
193,385,96,96,
289,385,96,96,
384,385,96,96,
1,480,96,96,
97,480,96,96,
193,480,96,96,
289,480,96,96,
384,480,96,96,
1,576,96,96,
97,576,96,96,
193,576,96,96,
289,576,96,96,
384,576,96,96,
1,671,96,96,
97,671,96,96,
193,671,96,96,
289,671,96,96,
384,671,96,96,
