[imgcut]
0
null
81
0,0,1,1,default
135,185,45,45,
122,232,65,35,
256,303,15,15,
248,348,40,25,
249,321,40,25,
407,266,25,50,
363,292,40,45,
364,339,20,25,
393,338,20,25,
15,187,100,70,
248,30,120,140,
36,78,70,40,
61,121,30,40,
93,123,30,40,
126,123,30,50,
25,124,25,40,
171,99,35,75,
210,99,35,75,
111,84,55,40,
40,18,60,50,
108,23,55,55,
209,33,25,25,
169,46,15,10,
189,43,15,10,
170,63,22,25,
194,64,22,25,
356,415,28,20,
391,416,28,20,
181,306,28,35,
184,346,45,25,
308,377,35,67,
255,408,25,50,
211,306,25,38,
193,375,35,25,
15,285,42,30,
19,320,42,44,
18,371,42,60,
70,288,42,30,
71,323,42,40,
63,369,48,60,
199,192,65,45,
292,185,50,60,
149,502,130,15,
219,66,22,25,
173,18,15,15,
190,20,10,10,
375,46,150,125,
358,173,55,40,
354,222,65,40,
193,240,65,45,
282,247,45,35,
20,444,85,50,
447,267,20,20,
473,272,22,20,
460,294,18,10,
434,184,80,30,
313,311,40,65,
245,378,40,30,
434,228,80,30,
115,280,45,30,
117,314,45,44,
117,360,45,70,
120,434,30,25,
175,416,30,45,
208,417,37,45,
176,464,50,30,
363,266,35,22,
362,371,60,40,
450,310,15,12,
470,313,15,12,
442,327,22,15,
438,348,28,25,
470,330,22,18,
470,350,28,25,
456,374,20,18,
3,505,45,120,
54,504,45,120,
102,501,45,130,
345,467,80,30,
285,457,50,70,
