[imgcut]
0
007_s.png
36
10,10,2,2,ダミー
913,475,174,8,影
915,55,174,272,歩く本体
4,374,112,108,手前１
123,374,110,108,手前２
234,374,110,108,手前３
346,374,120,108,手前４
470,374,130,108,手前５
606,374,130,108,手前６
745,374,134,108,手前７
3,490,155,109,奥１
165,490,155,109,奥２
333,490,155,109,奥３
497,490,135,109,奥４
642,490,126,109,奥５
780,490,126,109,奥６
915,490,142,109,奥７
883,367,50,43,右手
161,329,56,35,左手
440,63,68,110,停止足
4,52,213,276,攻撃準備１
219,55,213,263,攻撃準備２
439,231,392,134,攻撃本体
218,320,190,43,攻撃奥腕足
884,411,51,60,攻撃手前腕
937,330,150,144,炎１
739,53,174,126,炎２回転
568,55,102,138,炎３－１
673,54,60,92,炎３－２
879,183,38,95,炎４－１
698,150,33,76,炎４－２
844,186,32,70,炎４－３
864,317,50,50,炎エフェクト
450,174,103,47,炎小１
746,184,76,38,炎小２
513,79,52,92,
