[mamodel]
3
62
-1,-1,0,0,0,0,-45,-190,-750,750,0,1000,0,
0,-1,0,0,0,0,0,0,1000,1000,0,1000,0,
1,16,30,46,-5,54,23,56,1000,1000,0,1000,0,体
2,16,29,47,5,-55,12,8,1000,1000,0,1000,0,首
3,16,0,50,1,-2,37,68,1000,1000,0,1000,0,りんかく
4,0,67,51,-6,-24,27,24,994,860,0,1000,0,りんかく
4,16,18,46,-28,-39,14,2,1000,1000,0,1000,0,右もみあげ
4,16,19,56,22,-42,6,2,1000,1000,0,1000,0,左もみあげ
4,16,20,40,-38,-35,10,4,1000,1000,0,1000,0,髪右後ろ
4,16,21,41,40,-63,40,4,1000,1000,0,1000,0,髪左後ろ
4,16,22,57,-5,-55,35,6,1000,1000,0,1000,0,髪右前
4,-1,23,58,-4,-64,2,2,1000,1000,0,1000,0,髪左前
4,16,24,47,-37,-66,14,1,1000,1000,0,1000,0,髪右横
4,16,25,42,-39,-88,0,0,1000,1000,0,1000,0,髪頭頂部
4,16,27,38,-17,-78,30,20,1000,1000,0,1000,0,右耳
4,16,28,39,17,-78,4,30,1000,1000,0,1000,0,左耳
2,16,38,52,-21,-47,34,4,1000,1000,150,1000,0,曲げた右手
16,16,37,51,9,10,25,20,1000,1000,0,1000,0,マイク
2,16,32,10,-15,-45,8,6,-1000,1000,-250,1000,0,右手上
18,16,33,12,1,32,8,3,-1000,1000,-50,1000,0,右手下
19,16,34,11,1,21,12,10,-1000,1000,300,1000,0,右手
2,16,32,70,27,-44,8,6,1000,1000,50,1000,0,左手上
21,16,33,72,1,32,8,3,1000,1000,150,1000,0,左手下
22,16,34,71,3,20,12,8,1000,1000,-250,1000,0,左手
2,16,31,45,1,-3,37,7,1000,1000,0,1000,0,スカート
2,16,39,23,-8,24,20,16,1000,1000,0,1000,0,右もも
25,16,40,22,-3,43,12,6,1000,1000,0,1000,0,右すね
26,16,41,21,5,35,17,8,1000,1000,0,1000,0,右足
2,16,43,32,19,28,15,16,1000,1000,0,1000,0,左もも
28,16,44,31,3,39,11,5,1000,1000,0,1000,0,左すね
29,16,45,30,4,36,18,7,1000,1000,0,1000,0,左足
1,16,58,4,5,248,64,84,1000,1000,0,1000,0,箱
31,16,66,3,-36,-41,0,0,1000,1200,0,250,0,猫足前
0,16,55,2,-35,235,0,0,1790,1790,0,1000,0,猫足後ろ
0,16,59,1,5,256,80,4,800,1200,0,1000,0,影
2,16,46,15,8,15,30,82,-1000,1000,-1100,1000,0,しっぽ
1,16,49,63,-10,58,42,20,1000,1000,0,1000,0,攻撃体
36,16,46,54,10,-20,30,82,1000,1000,-250,1000,0,攻撃しっぽ
36,16,47,67,-10,25,72,24,1000,1000,0,1000,0,攻撃頭
38,16,51,68,-40,-210,0,0,4500,6000,-300,1000,0,攻撃エフェクト
36,16,48,62,-48,25,14,72,1000,1000,0,1000,0,攻撃右手
40,16,37,61,-6,-52,25,20,1000,1000,1150,1000,0,攻撃マイク
36,16,50,60,4,0,36,24,1000,1000,0,1000,0,攻撃スカート
36,16,32,65,-2,24,8,6,1000,1000,1250,1000,0,左手上
43,16,33,66,2,32,8,3,1000,1000,0,1000,0,左手下
44,16,34,64,2,24,14,12,1000,1000,-200,1000,0,左手
36,16,39,23,-3,21,20,16,1000,1000,0,1000,0,右もも
46,16,40,22,-3,42,12,5,1000,1000,0,1000,0,右すね
47,16,41,21,6,32,17,6,1000,1000,0,1000,0,右足
36,16,43,32,24,25,15,16,1000,1000,0,1000,0,左もも
49,16,44,31,4,39,11,5,1000,1000,0,1000,0,左すね
50,16,45,30,4,36,18,7,1000,1000,0,1000,0,左足
20,16,37,10,18,28,25,20,1000,-1000,450,1000,0,マイク
4,16,64,100,-50,-50,26,16,2000,3000,250,1000,0,びっくり
0,-1,0,0,0,0,0,0,1000,1000,0,1000,0,汗アニメ
54,16,63,70,75,-100,2,8,1000,1000,600,1000,0,
54,16,63,70,90,-85,2,8,1000,1000,300,1000,0,
54,16,63,70,97,-65,2,8,1000,1000,100,1000,0,
54,16,63,70,-60,-100,2,8,1000,1000,1200,1000,0,
54,16,63,70,-75,-85,2,8,1000,1000,1500,1000,0,
54,16,63,70,-82,-65,2,8,1000,1000,1700,1000,0,
0,16,65,2,-37,195,0,0,1790,1790,0,1000,0,
1000,3600,1000
1
0,0,0,0,10,0,
