[imgcut]
0
003_s.png
26
961,377,114,80,基本顔
1,2,35,40,あおすじ※欠番
2,2,220,295,基本：体
16,539,190,15,影
226,2,148,292,歩き1
376,2,132,292,歩き2
515,2,148,288,歩き3
670,2,190,292,歩き4
865,2,180,292,歩き5
13,298,167,240,歩き6
957,293,121,76,攻撃顔1
184,298,180,240,攻撃体1
365,297,107,290,攻撃2左足
314,542,46,30,攻撃2左足首
588,296,78,146,攻撃2右足もも
14,567,125,117,攻撃2右足1
183,565,125,117,攻撃右足2
580,449,88,122,攻撃顔3
668,299,74,110,攻撃3左足もも
669,411,76,148,攻撃3左足首
867,462,205,130,攻撃3アニメ効果
748,461,100,98,攻撃3右足もも
750,301,98,157,攻撃3右足1
855,299,85,152,攻撃3右足2
487,570,80,66,
624,372,15,10,
