[imgcut]
0
null
47
0,0,0,0,default
21,86,30,32,主身子
13,25,40,50,上半身
63,25,40,50,上半身2
65,86,25,25,脖子
5,125,85,65,头部
11,194,35,30,下巴
109,24,35,57,左肩膀
148,24,22,57,左胳膊
174,10,35,70,左手
220,44,30,35,爪1
256,41,20,35,爪2
278,42,20,35,爪3
109,84,40,78,右胳膊
156,84,40,60,右手
60,196,30,42,大腿
218,99,30,58,小腿1
267,94,30,58,2
165,165,30,58,3
109,169,40,58,脚1
104,239,46,58,2
167,227,46,58,3
312,177,25,55,尾巴1
294,177,17,55,2
279,177,15,55,3
262,177,16,55,4
247,177,15,55,5
234,178,12,55,6
221,178,12,55,7
131,320,102,40,飞翅膀
10,313,102,65,1
18,386,140,180,翅膀1
182,378,100,200,翅膀2
298,376,60,200,紫炎剑
370,376,60,200,
291,310,20,33,
317,310,20,33,
251,309,30,33,
227,264,90,10,
18,242,55,58,
167,227,1,1,攻击特效全
324,8,100,80,
338,100,100,150,
458,125,70,10,
456,137,15,35,
478,136,20,35,
504,136,25,35,
