[imgcut]
0
006_s.png
32
3,219,8,8,空データ
30,65,151,105,本体00　上
30,171,150,47,本体00　下
184,74,160,223,本体01　上
471,318,146,211,本体01　中
668,452,150,72,本体01　下
30,288,162,91,本体02　上
29,382,163,33,本体02　下
487,63,158,222,本体02　エフェクト
31,419,67,47,椅子00
101,419,67,47,椅子01
172,419,52,23,椅子　影
197,300,44,41,にゃんこ00
243,302,46,37,にゃんこ01
290,298,49,36,にゃんこ02
343,302,47,34,にゃんこ03
198,343,49,51,傘00
247,345,45,51,傘01
293,345,49,51,傘02
194,396,37,13,傘　影
675,76,184,24,影　通常00
675,103,184,24,影　移動01
675,131,184,24,影　移動02
675,158,184,24,影　移動03
675,186,184,24,影　移動04
675,214,184,24,影　移動05
675,241,184,24,影　移動06
675,268,184,24,影　攻撃01
675,296,184,24,影　攻撃02
675,323,184,24,影　攻撃03
675,351,184,24,影　攻撃04
238,399,51,84,本体02　エフェクト01
